,seg,bu,platform,category,line,set,set id,cat 11
52,INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Hydro Latex 5cc Balloon,PH240152141140,PowerPort
53,INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Magnum Needles,PH240111041048,Safety LOK (Safety Wingset)
54,INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Surestep Clsd Sys Fol Mtr Tray,PH240152141156,Purewick catheter
55,INT,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains,PH240154141006,Powerport
56,INT,SUR,Biosurgery,Arista,Arista,Arista,PH240134241004,Hypak for Antico
57,INT,UCC,Total Home Care Sales,Urology Home Care,Tubing,Tubing,PH240153141053,Purewick catheter
58,INT,UCC,Total Home Care Sales,Urology Home Care,Hydrophilic Urethral Catheters,BD Ready-To-Use,PH240153141063,PowerPort
59,INT,UCC,Total Home Care Sales,Urology Home Care,Bardia Trays,Insertion Trays,PH240153141008,Purewick catheter
60,INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,Surestep Brdx Ic 350cc Um Stat,PH240152141099,Purewick catheter
61,INT,UCC,Total Home Care Sales,PureWick Home Care,PureWick Disposables Home Care,PureWick Female External,PH240153141055,Purewick catheter
62,INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Surestep Clsd Sys Fol Tray Tes,PH240152141157,Purewick catheter
63,INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Cathether Kit,PH240153141002,Purewick catheter
64,INT,UCC,Total Acute Urology,Urological Drainage,Urine Meter Bags,Urine Meter with Bag,PH240152141238,Purewick canister & tubing
65,INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Spirit Style 2,PH240153141026,Purewick catheter
66,INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Coaxial Needles,PH240111041044,Safety LOK (Safety Wingset)
67,INT,PI,Oncology,Biopsy Needles and Accessories,Mission Needles,Mission Needles,PH240111041055,Safety LOK (Safety Wingset)
68,INT,PI,Oncology,Brachy,Brachy Seeds,Iodine Seeds,PH240154141054,PowerPort
69,INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Strips,Bardex Foley Cath 5cc,PH240152141092,Purewick catheter
70,INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,4 Liter Bag,PH240152141077,Purewick canister & tubing
71,INT,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes,PH240154141036,Purewick canister & tubing
72,INT,UCC,Total Home Care Sales,Urology Home Care,Bardia Drainbags,Drainbags,PH240153141005,Purewick catheter
73,INT,UCC,Total BD UCC Other,Airway,Statlock - Nasogastric,Statlock - Nasogastric,PH240154141048,Purewick canister & tubing
74,INT,PI,Oncology,Biopsy Needles and Accessories,Marquee Needles,Marquee Needles,PH240111041054,Safety LOK (Safety Wingset)
75,INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Surestep Econ Dran Ltx Tray,PH240152141159,Purewick catheter
76,INT,PI,BD PI Other,OEM,Textiles OEM,Textiles OEM,PH240110541066,Safety LOK (Safety Wingset)
77,INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Cathether,PH240153141002,Purewick catheter
78,INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Closed System Foley Trays Tes,PH240152141147,Purewick catheter
79,INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Trays,Surestep Sil Bag Tray,PH240152141166,Purewick catheter
80,INT,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes 2,PH240154141037,Purewick canister & tubing
81,INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Trays,Surestep Sil U/M Tray,PH240152141167,Purewick catheter
82,INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,Surestep Ic Fol Tray W/ Statlock,PH240152141101,Purewick catheter
83,INT,UCC,Total Home Care Sales,Urology Home Care,Catheter Maintenance,Optiflo Irrigation Soln,PH240153141066,ChloraPrep
84,INT,UCC,Endourology,Stone Disposables,Stents,FMI Lubricious Stent,PH240152141025,Hypak for Antico
85,INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Latex Trays,PH240152141265,Purewick catheter
86,INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Surestep Lubri Ic Ty W/Umstat,PH240152141111,Purewick catheter
87,INT,PI,Oncology,Vacuum Assisted,Encor Probes,Encor GP Probes,PH240111041061,Hypak for Antico
88,INT,UCC,Total Acute Urology,Urological Drainage,IC Coated Meters & Bags,I/C Drain Bags,PH240152141090,PowerPort
89,INT,SUR,Infection Prevention - Surgical,Other IP,Bulk Solutions,Bulk Solutions,PH230200041716,Powerport
90,INT,PI,Peripheral Vascular Disease,PTA PVD,Other PTA,Presto,PH240113741024,PowerPort
91,INT,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bardex Int Cath,PH240152141228,Purewick catheter
92,INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Popon,PH240153141023,Purewick catheter
93,INT,SUR,Performance Irrigation and Other Surgery,Tepha OEM,Tepha OEM,Tepha OEM,PH240130241025,PowerPort
94,INT,UCC,Total BD UCC Other,Wound Drainage,Wound and Skin Care,Medi-Aire,PH240154141023,ChloraPrep
95,INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,Surestep W/All Sil W/UM,PH240152141213,Purewick catheter
96,INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,CWS 400 Kits,PH240154141008,PowerPort
97,INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Latex Trays,Surestep Bdx Ic Temp Sens Stat,PH240152141123,Purewick catheter
98,INT,UCC,Total Acute Urology,Fecal Drainage,Dignicare Accessories,FCD Accessories,PH240152141061,ChloraPrep
99,INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,Latex Free Drain Bag,PH240152141083,Purewick canister & tubing
100,INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,3-Way 30cc,PH240152141175,PowerPort
101,INT,PI,Oncology,BIOPSY,Soft Tissue - Oncology,SOFT TISSUE MANUAL,PH240111041009,Neopak
102,INT,PI,Oncology,ACUTE DRAINAGE,THORA-PARA,THORA/PARA TRAYS,PH230400041870,Purewick catheter
103,INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Surgical,Marker Pen,PH230200041699,Hypak for Antico
104,INT,PI,Oncology,BIOPSY,Bone,Jamshidi,PH230400041918,Safety LOK (Safety Wingset)
105,INT,UCC,Total Acute Urology,Urological Drainage,IC Specialty Foley,IC 2-Way Coude,PH240152141112,Purewick catheter
106,INT,SUR,Infection Prevention - Surgical,Hair Removal,ClipVac,ClipVac Disposables,PH230200041704,Neopak
107,INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Low Cost Lubricath,PH240152141141,PowerPort
108,INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Silicone Trays,Surestep Sil Ictray Bag Stat,PH240152141134,Purewick catheter
109,INT,PI,Oncology,Vacuum Assisted,Encor Probes,Encor Disposable Accessories,PH240111041060,Safety LOK (Safety Wingset)
110,INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Monopty Needles,PH240111041050,Safety LOK (Safety Wingset)
111,INT,PI,Oncology,Markers,UltraClip Markers,Ultraclip DT,PH240111041078,Safety LOK (Safety Wingset)
112,INT,UCC,Endourology,Stone Disposables,Stents,Endourology Guidewires,PH240152141024,Purewick catheter
113,INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Surestep Lub Ic Tay W/Bag Stat,PH240152141108,Purewick catheter
114,INT,UCC,Total Acute Urology,Urological Drainage,Temp Sensing Silicone Trays,Surestep Temp Mon U/M Sil Tray,PH240152141222,Purewick catheter
115,INT,PI,Oncology,ACUTE DRAINAGE,SAFE-T-CENTESIS,SAFE-T-CENTESIS TRAYS,PH230400041866,Purewick catheter
116,INT,SUR,Biosurgery,Avitene,Avitene,Avitene - Domestic,PH240134241000,Purewick catheter
117,INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Catheters,HC Foley Catheter,PH240153141043,Purewick catheter
118,INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,Councill,PH240152141181,PowerPort
119,INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Latex 350cc Tray,PH240152141153,Purewick catheter
120,INT,UCC,Total Home Care Sales,Urology Home Care,PVC Catheters,PVC Strips,PH240153141035,Purewick catheter
121,INT,SUR,Hernia,Groin Hernia,Groin Lap,3D Max Mesh,PH240131941041,Hypak for Antico
122,INT,SUR,Hernia,Groin Hernia,Groin Lap,Light 3D Max Mesh,PH240131941046,Hypak for Antico
123,INT,PI,Oncology,BIOPSY,Bone,Illinois,PH230400041916,Safety LOK (Safety Wingset)
124,INT,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,PH230400041888,Purewick canister & tubing
125,INT,PI,Oncology,Ports,Ports,Powerport ISP,PH240111041026,Hypak for Antico
126,INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Flat Drains,PH240154141013,PowerPort
127,INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,Surestep W/All Sil W/Bag,PH240152141212,Purewick catheter
128,INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,W/All Sil W/Bag,PH240152141215,Purewick catheter
129,INT,UCC,Total Acute Urology,Urological Drainage,IC Coated Meters & Bags,Surestep 350cc U/M Bag,PH240152141091,PowerPort
130,INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Silastic Catheters,PH240152141144,PowerPort
131,INT,UCC,Endourology,Stone Disposables,Stents,Polyurethane Stents,PH240152141027,Purewick catheter
132,INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Latex Strips,Bardex I/C Temp Sensing,PH240152141120,PowerPort
133,INT,PI,Oncology,Markers,Localization Wire,Localization Wires,PH240111041053,Safety LOK (Safety Wingset)
134,INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Hydro Latex 30cc Balloon,PH240152141139,PowerPort
135,INT,UCC,Total Acute Urology,Urological Drainage,Temp Sensing Latex Trays,Surestep Temp Mon U/M,PH240152141220,Purewick catheter
136,INT,SUR,Infection Prevention - Surgical,PurPrep,PurPrep,26 ml,PH230200041734,Purewick catheter
137,INT,SUR,Performance Irrigation and Other Surgery,Performance Irrigation,Laparoscopic,Hydro-Surg Plus,PH240130241011,Veritor device
138,INT,UCC,Total Acute Urology,Urological Drainage,Other Urine Collection Devices,W/O Cath W/UM Bag,PH240152141192,Purewick canister & tubing
139,INT,UCC,Total Acute Urology,Fecal Drainage,Dignishield,Dignishield,PH240152141063,Hypak for Antico
140,INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,Bardx Ic W/350cc UM W/Statlock,PH240152141095,Purewick catheter
141,INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Glidepath,PH240112141002,Hypak for Antico
142,INT,SUR,Biosurgery,Avitene,Avitene,Foam,PH240134241002,Purewick catheter
143,INT,SUR,Hernia,Ventral,Umbilical Ventral,Ventralex ST,PH240131941020,Hypak for Antico
144,INT,PI,Oncology,Brachy,Brachy Services,Brachy Services,PH240111041117,
145,INT,PI,Oncology,Brachy,Brachy Services,Brachy Loading,PH240111041116,
146,INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Brief/Diaper,PH240153141002,
147,INT,UCC,Total Acute Urology,Urological Drainage,Bardia Strips,Bardia Sil Catheter,PH240153141006,
148,INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Strips,Lubri-Sil I/C Catheters,PH240152141103,
149,INT,PI,BD PI Other,OEM,Guidewires OEM,Guidewires OEM,PH240110541063,
150,INT,PI,Oncology,Markers,Senomark Markers,Senomark Ultra,PH240111041073,
151,INT,PI,Oncology,Markers,UltraClip Markers,Twirl Marker,PH240111041076,
152,INT,PI,Oncology,Drainage,Navarre,Navarre Catheters,PH240111041083,
153,INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Liners Guards pads,PH240153141002,
154,INT,PI,Oncology,Diagnostic Trays,Trays,STANDARD TRAYS,PH230400041894,
155,INT,PI,Oncology,Brachy,Brachy Needles,Brachy Needles,PH240154141050,
156,INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,3-Way Hematuria,PH240152141178,
157,INT,SUR,Infection Prevention - Surgical,Hand Hygiene,Scrubs,Scrub Solutions,PH230200041710,
158,INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Round Drains,PH240154141014,
159,INT,PI,End Stage Kidney Disease,PTA ESKD,Conquest 40 PTA,Conquest 40 PTA,PH240112141023,
160,INT,UCC,Total Acute Urology,Urological Drainage,Urine Meter Bags,Urine Meter Latex Free(Not On,PH240152141236,
161,INT,PI,Peripheral Vascular Disease,PTA PVD,Ultraverse,Ultraverse 035,PH240113741032,
162,INT,UCC,Total Acute Urology,Urological Drainage,IC Specialty Foley,IC 3-Way 30cc,PH240152141113,
163,INT,PI,Oncology,Ports,Ports,Non-Power Ports,PH240111041022,
164,INT,UCC,Total Acute Urology,Urological Drainage,IC Coated Meters & Bags,350cc U/M Bag,PH240152141089,
165,INT,PI,Oncology,BIOPSY,Bone,Bone marrow biopsy tray,PH230400041917,
166,INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Natural,PH240153141022,
167,INT,SUR,Infection Prevention - Surgical,Surgical Wound Irrigation,Surgiphor,Single Irrigation Solution,PH230200041742,
168,INT,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose GSV Catheter,PH240113741092,
169,INT,PI,End Stage Kidney Disease,PTA ESKD,VAccess,VAccess,PH240112141027,
170,INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Ureter Cat Access,PH240152141054,
171,INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Lubrisil I/C Trays W/Bag-Statl,PH240152141105,
172,INT,UCC,Endourology,Stone Disposables,Ureterals,Polyurethane Open Tip,PH240152141038,
173,INT,PI,End Stage Kidney Disease,PTA ESKD,Conquest PTA,Conquest PTA,PH240112141024,
174,INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Lubri-Sil I/C Ty W/Um-Statlock,PH240152141107,
175,INT,SUR,Hernia,Groin Hernia,Plugs,Plugs,PH240131941053,
176,INT,SUR,Hernia,Groin Hernia,Groin Open,Soft Mesh,PH240131941056,
177,INT,SUR,Hernia,Fixation,Permanent Fixation,Capsure,PH240131941018,
178,INT,PI,Oncology,Brachy,Brachy Accessories,Packaging,PH240154141052,
179,INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Trays,Sil U/M Trays,PH240152141165,
180,INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Strips,Bardex Ic Foley Cath 30cc,PH240152141093,
181,INT,PI,Oncology,Ports,Ports,Powerport Clearvue ISP,PH240111041024,
182,INT,PI,Oncology,Other IS,MANNFORD OEM,MANNFORD OEM,PH230400041899,
183,INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Hemostar,PH240112141004,
184,INT,PI,Oncology,Markers,UltraClip Markers,Ultraclip,PH240111041077,
185,INT,SUR,Hernia,Groin Hernia,Groin Open,Mesh Flats,PH240131941048,
186,INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Catheters,Insertion Trays - Sil,PH240153141069,
187,INT,SUR,Hernia,Groin Hernia,Groin Lap,3D Max Enhancement,PH240131941070,
188,INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,C/S Bag Antireflux Valve,PH240152141081,
189,INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,2-Way 5cc,PH240152141172,
190,INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,Surestep Ltx Free Tray W/UM,PH240152141211,
191,INT,UCC,Total Home Care Sales,Urology Home Care,Non BD ISC,Laprocath ISC,PH240153141067,
192,INT,UCC,Endourology,Stone Disposables,Percutaneous Drainage,Malecots,PH240152141013,
193,INT,UCC,Total BD UCC Other,Temporary Pacing Electrodes,Temporary Pacing Electrodes,Balloon Electrodes,PH240154141028,
194,INT,PI,Peripheral Vascular Disease,Venous,Filters,Denali,PH240112141032,
195,INT,UCC,Total Home Care Sales,Urology Home Care,Touchless Catheter,Touchless Catheter,PH240153141050,
196,INT,PI,BD PI Other,Peripheral Intervention Freight & Rebates,Freight Revenue,Freight Revenue,PH240110541000,
197,INT,PI,Oncology,Brachy,Brachy SourceLink,SourceLink,PH240154141059,
198,INT,PI,Oncology,Vacuum Assisted,EleVation,EleVation - Disposable,PH240111041070,
199,INT,PI,End Stage Kidney Disease,PTA ESKD,Dorado,Dorado,PH240112141026,
200,INT,UCC,Total Home Care Sales,Urology Home Care,Tubing,Mec Accessories,PH240153141052,
201,INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Ellik Disposable,PH240152141048,
202,INT,UCC,Endourology,Stone Disposables,Ureterals,Wov Uret Whistle,PH240152141046,
203,INT,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX CATHETERS,PH230400041890,
204,INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Histocore,PH240111041046,
205,INT,UCC,Total Acute Urology,Urological Drainage,IC Specialty Foley,IC Councill,PH240152141115,
206,INT,PI,Oncology,Ports,Ports,Powerport ISP MRI,PH240111041027,
207,INT,PI,End Stage Kidney Disease,PTA ESKD,Atlas Gold PTA,Atlas Gold PTA,PH240112141021,
208,INT,SUR,Hernia,Ventral,Lap Ventral,Ventralight ST,PH240131941033,
209,INT,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,PH240113741093,
210,INT,UCC,Total Acute Urology,Urological Drainage,I/C Add-A-Foley,IC Add-A-Foleu,PH240152141087,
211,INT,SUR,Performance Irrigation and Other Surgery,Performance Irrigation,Pulsed Lavage,Solo Simpulse,PH240130241017,
212,INT,PI,End Stage Kidney Disease,PTA ESKD,Atlas PTA,Atlas PTA,PH240112141022,
213,INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Pediatric Foleys,PH240152141143,
214,INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Hemosplit,PH240112141003,
215,INT,SUR,Hernia,Groin Hernia,Plugs,Light Plug,PH240131941047,
216,INT,UCC,Total Home Care Sales,Urology Home Care,Biopsy - BMD,Maxcore,PH240153141013,
217,INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Silicone Trays,Silicone Ictray W/Bag-Statlock,PH240152141131,
218,INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Latex Trays,Bdx I/C Temp Sensing W/Statlo,PH240152141121,
219,INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,Surestep Ltx Free Tray W/ Bag,PH240152141210,
220,INT,UCC,Total BD UCC Other,Wound Drainage,Other Drains - BMD,T-Tube / Bile Bags,PH240154141020,
221,INT,UCC,Targeted Temperature Management,TTM Disposables,Arctic Sun-Disposables,Arctic Sun-Disposables,PH240151141077,
222,INT,SUR,Hernia,Ventral,Other Ventral Synthetic,Ventral Flats,PH240131941028,
223,INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,3-Way Coude,PH240152141177,
224,INT,PI,Oncology,Catheter Group,Chronic CVC Catheters,Powerline Catheters,PH240111041037,
225,INT,PI,Oncology,Ports,Ports,Powerport Clearvue Slim,PH240111041025,
226,INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Evocore,PH240111041088,
227,INT,UCC,Total Acute Urology,Fecal Drainage,Fecal Rectal Tubes,Rectal Tubes,PH240152141064,
228,INT,PI,Peripheral Vascular Disease,Drug Coated Balloons PVD,Lutonix,Lutonix SFA,PH240113741039,
229,INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Equistream,PH240112141001,
230,INT,PI,Peripheral Vascular Disease,Heart,Clearsteam PTCA,PTCA Clearstream Balloons,PH240113741009,
231,INT,SUR,Hernia,Fixation,Absorbable Fixation,Sorbafix,PH240131941017,
232,INT,PI,Oncology,Diagnostic Trays,Trays,SAFETY TRAYS,PH230400041893,
233,INT,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tube W/Lopez Valve,PH240154141034,
234,INT,UCC,Endourology,Stone Disposables,Ureterals,Polyureth Cone,PH240152141034,
235,INT,PI,Oncology,Catheter Group,Chronic CVC Catheters,Broviac Hickman Leonard Catheters,PH240111041033,
236,INT,SUR,Biosurgery,Surgical Sealants,Surgical Sealants,Progel Kits,PH240134241006,
237,INT,SUR,Hernia,Groin Hernia,Groin Open,Preshapes,PH240131941055,
238,INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Economy Drainage Latex Tray,PH240152141149,
239,INT,UCC,Endourology,Stone Disposables,Dilation Products,Heyman Followers,PH240152141006,
240,INT,PI,Oncology,Brachy,Brachy Seeds,Palladium Seeds,PH240154141055,
241,INT,PI,Oncology,Markers,Senomark Markers,Senomark,PH240111041072,
242,INT,PI,Peripheral Vascular Disease,PTA PVD,Ultraverse,Ultraverse 018,PH240113741031,
243,INT,UCC,Endourology,Stone Disposables,Stents,Ureteral Stents,PH240152141029,
