SEG,BU,Platform,Product Category,Product Line,Product Set ,Set ID,"Exemplar Product 
(Use)",,,
INT,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bard Cath Kits,PH240152141224,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Hydro Latex 5cc Balloon,PH240152141140,PowerPort,,,
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Magnum Needles,PH240111041048,Safety LOK (Safety Wingset),,,
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Surestep Clsd Sys Fol Mtr Tray,PH240152141156,Purewick catheter,,,
INT,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains,PH240154141006,Powerport,,,
INT,SUR,Biosurgery,Arista,Arista,Arista,PH240134241004,Hypak for Antico,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Tubing,Tubing,PH240153141053,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Hydrophilic Urethral Catheters,BD Ready-To-Use,PH240153141063,PowerPort,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Bardia Trays,Insertion Trays,PH240153141008,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,Surestep Brdx Ic 350cc Um Stat,PH240152141099,Purewick catheter,,,
INT,UCC,Total Home Care Sales,PureWick Home Care,PureWick Disposables Home Care,PureWick Female External,PH240153141055,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Surestep Clsd Sys Fol Tray Tes,PH240152141157,Purewick catheter,,,
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Cathether Kit,PH240153141002,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Urine Meter Bags,Urine Meter with Bag,PH240152141238,Purewick canister & tubing,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Spirit Style 2,PH240153141026,Purewick catheter,,,
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Coaxial Needles,PH240111041044,Safety LOK (Safety Wingset),,,
INT,PI,Oncology,Biopsy Needles and Accessories,Mission Needles,Mission Needles,PH240111041055,Safety LOK (Safety Wingset),,,
INT,PI,Oncology,Brachy,Brachy Seeds,Iodine Seeds,PH240154141054,PowerPort,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Strips,Bardex Foley Cath 5cc,PH240152141092,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,4 Liter Bag,PH240152141077,Purewick canister & tubing,,,
INT,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes,PH240154141036,Purewick canister & tubing,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Bardia Drainbags,Drainbags,PH240153141005,Purewick catheter,,,
INT,UCC,Total BD UCC Other,Airway,Statlock - Nasogastric,Statlock - Nasogastric,PH240154141048,Purewick canister & tubing,,,
INT,PI,Oncology,Biopsy Needles and Accessories,Marquee Needles,Marquee Needles,PH240111041054,Safety LOK (Safety Wingset),,,
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Surestep Econ Dran Ltx Tray,PH240152141159,Purewick catheter,,,
INT,PI,BD PI Other,OEM,Textiles OEM,Textiles OEM,PH240110541066,Safety LOK (Safety Wingset),,,
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Cathether,PH240153141002,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Closed System Foley Trays Tes,PH240152141147,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Trays,Surestep Sil Bag Tray,PH240152141166,Purewick catheter,,,
INT,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes 2,PH240154141037,Purewick canister & tubing,,,
INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Trays,Surestep Sil U/M Tray,PH240152141167,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,Surestep Ic Fol Tray W/ Statlock,PH240152141101,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Catheter Maintenance,Optiflo Irrigation Soln,PH240153141066,ChloraPrep,,,
INT,UCC,Endourology,Stone Disposables,Stents,FMI Lubricious Stent,PH240152141025,Hypak for Antico,,,
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Latex Trays,PH240152141265,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Surestep Lubri Ic Ty W/Umstat,PH240152141111,Purewick catheter,,,
INT,PI,Oncology,Vacuum Assisted,Encor Probes,Encor GP Probes,PH240111041061,Hypak for Antico,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Coated Meters & Bags,I/C Drain Bags,PH240152141090,PowerPort,,,
INT,SUR,Infection Prevention - Surgical,Other IP,Bulk Solutions,Bulk Solutions,PH230200041716,Powerport,,,
INT,PI,Peripheral Vascular Disease,PTA PVD,Other PTA,Presto,PH240113741024,PowerPort,,,
INT,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bardex Int Cath,PH240152141228,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Popon,PH240153141023,Purewick catheter,,,
INT,SUR,Performance Irrigation and Other Surgery,Tepha OEM,Tepha OEM,Tepha OEM,PH240130241025,PowerPort,,,
INT,UCC,Total BD UCC Other,Wound Drainage,Wound and Skin Care,Medi-Aire,PH240154141023,ChloraPrep,,,
INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,Surestep W/All Sil W/UM,PH240152141213,Purewick catheter,,,
INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,CWS 400 Kits,PH240154141008,PowerPort,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Latex Trays,Surestep Bdx Ic Temp Sens Stat,PH240152141123,Purewick catheter,,,
INT,UCC,Total Acute Urology,Fecal Drainage,Dignicare Accessories,FCD Accessories,PH240152141061,ChloraPrep,,,
INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,Latex Free Drain Bag,PH240152141083,Purewick canister & tubing,,,
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,3-Way 30cc,PH240152141175,PowerPort,,,
INT,PI,Oncology,BIOPSY,Soft Tissue - Oncology,SOFT TISSUE MANUAL,PH240111041009,Neopak,,,
INT,PI,Oncology,ACUTE DRAINAGE,THORA-PARA,THORA/PARA TRAYS,PH230400041870,Purewick catheter,,,
INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Surgical,Marker Pen,PH230200041699,Hypak for Antico,,,
INT,PI,Oncology,BIOPSY,Bone,Jamshidi,PH230400041918,Safety LOK (Safety Wingset),,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Specialty Foley,IC 2-Way Coude,PH240152141112,Purewick catheter,,,
INT,SUR,Infection Prevention - Surgical,Hair Removal,ClipVac,ClipVac Disposables,PH230200041704,Neopak,,,
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Low Cost Lubricath,PH240152141141,PowerPort,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Silicone Trays,Surestep Sil Ictray Bag Stat,PH240152141134,Purewick catheter,,,
INT,PI,Oncology,Vacuum Assisted,Encor Probes,Encor Disposable Accessories,PH240111041060,Safety LOK (Safety Wingset),,,
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Monopty Needles,PH240111041050,Safety LOK (Safety Wingset),,,
INT,PI,Oncology,Markers,UltraClip Markers,Ultraclip DT,PH240111041078,Safety LOK (Safety Wingset),,,
INT,UCC,Endourology,Stone Disposables,Stents,Endourology Guidewires,PH240152141024,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Surestep Lub Ic Tay W/Bag Stat,PH240152141108,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Temp Sensing Silicone Trays,Surestep Temp Mon U/M Sil Tray,PH240152141222,Purewick catheter,,,
INT,PI,Oncology,ACUTE DRAINAGE,SAFE-T-CENTESIS,SAFE-T-CENTESIS TRAYS,PH230400041866,Purewick catheter,,,
INT,SUR,Biosurgery,Avitene,Avitene,Avitene - Domestic,PH240134241000,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Catheters,HC Foley Catheter,PH240153141043,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,Councill,PH240152141181,PowerPort,,,
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Latex 350cc Tray,PH240152141153,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,PVC Catheters,PVC Strips,PH240153141035,Purewick catheter,,,
INT,SUR,Hernia,Groin Hernia,Groin Lap,3D Max Mesh,PH240131941041,Hypak for Antico,,,
INT,SUR,Hernia,Groin Hernia,Groin Lap,Light 3D Max Mesh,PH240131941046,Hypak for Antico,,,
INT,PI,Oncology,BIOPSY,Bone,Illinois,PH230400041916,Safety LOK (Safety Wingset),,,
INT,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,PH230400041888,Purewick canister & tubing,,,
INT,PI,Oncology,Ports,Ports,Powerport ISP,PH240111041026,Hypak for Antico,,,
INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Flat Drains,PH240154141013,PowerPort,,,
INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,Surestep W/All Sil W/Bag,PH240152141212,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,W/All Sil W/Bag,PH240152141215,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Coated Meters & Bags,Surestep 350cc U/M Bag,PH240152141091,PowerPort,,,
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Silastic Catheters,PH240152141144,PowerPort,,,
INT,UCC,Endourology,Stone Disposables,Stents,Polyurethane Stents,PH240152141027,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Latex Strips,Bardex I/C Temp Sensing,PH240152141120,PowerPort,,,
INT,PI,Oncology,Markers,Localization Wire,Localization Wires,PH240111041053,Safety LOK (Safety Wingset),,,
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Hydro Latex 30cc Balloon,PH240152141139,PowerPort,,,
INT,UCC,Total Acute Urology,Urological Drainage,Temp Sensing Latex Trays,Surestep Temp Mon U/M,PH240152141220,Purewick catheter,,,
INT,SUR,Infection Prevention - Surgical,PurPrep,PurPrep,26 ml,PH230200041734,Purewick catheter,,,
INT,SUR,Performance Irrigation and Other Surgery,Performance Irrigation,Laparoscopic,Hydro-Surg Plus,PH240130241011,Veritor device,,,
INT,UCC,Total Acute Urology,Urological Drainage,Other Urine Collection Devices,W/O Cath W/UM Bag,PH240152141192,Purewick canister & tubing,,,
INT,UCC,Total Acute Urology,Fecal Drainage,Dignishield,Dignishield,PH240152141063,Hypak for Antico,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,Bardx Ic W/350cc UM W/Statlock,PH240152141095,Purewick catheter,,,
INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Glidepath,PH240112141002,Hypak for Antico,,,
INT,SUR,Biosurgery,Avitene,Avitene,Foam,PH240134241002,Purewick catheter,,,
INT,SUR,Hernia,Ventral,Umbilical Ventral,Ventralex ST,PH240131941020,Hypak for Antico,,,
INT,PI,Oncology,Brachy,Brachy Services,Brachy Services,PH240111041117,,,,
INT,PI,Oncology,Brachy,Brachy Services,Brachy Loading,PH240111041116,,,Unknown BU cannot confirm,
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Brief/Diaper,PH240153141002,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Bardia Strips,Bardia Sil Catheter,PH240153141006,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Strips,Lubri-Sil I/C Catheters,PH240152141103,,,,Purewick catheter
INT,PI,BD PI Other,OEM,Guidewires OEM,Guidewires OEM,PH240110541063,,,,Safety LOK (Safety Wingset)
INT,PI,Oncology,Markers,Senomark Markers,Senomark Ultra,PH240111041073,,,,Safety LOK (Safety Wingset)
INT,PI,Oncology,Markers,UltraClip Markers,Twirl Marker,PH240111041076,,,,Safety LOK (Safety Wingset)
INT,PI,Oncology,Drainage,Navarre,Navarre Catheters,PH240111041083,,,,Purewick catheter
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Liners Guards pads,PH240153141002,,,,Purewick catheter
INT,PI,Oncology,Diagnostic Trays,Trays,STANDARD TRAYS,PH230400041894,,,,Purewick catheter
INT,PI,Oncology,Brachy,Brachy Needles,Brachy Needles,PH240154141050,,,,Safety LOK (Safety Wingset)
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,3-Way Hematuria,PH240152141178,,,,PowerPort
INT,SUR,Infection Prevention - Surgical,Hand Hygiene,Scrubs,Scrub Solutions,PH230200041710,,,,ChloraPrep
INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Round Drains,PH240154141014,,,,PowerPort
INT,PI,End Stage Kidney Disease,PTA ESKD,Conquest 40 PTA,Conquest 40 PTA,PH240112141023,,,,Hypak for Antico
INT,UCC,Total Acute Urology,Urological Drainage,Urine Meter Bags,Urine Meter Latex Free(Not On,PH240152141236,,,,Purewick canister & tubing
INT,PI,Peripheral Vascular Disease,PTA PVD,Ultraverse,Ultraverse 035,PH240113741032,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Specialty Foley,IC 3-Way 30cc,PH240152141113,,,,Purewick catheter
INT,PI,Oncology,Ports,Ports,Non-Power Ports,PH240111041022,,,,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,IC Coated Meters & Bags,350cc U/M Bag,PH240152141089,,,,PowerPort
INT,PI,Oncology,BIOPSY,Bone,Bone marrow biopsy tray,PH230400041917,,,,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Natural,PH240153141022,,,,Purewick catheter
INT,SUR,Infection Prevention - Surgical,Surgical Wound Irrigation,Surgiphor,Single Irrigation Solution,PH230200041742,,,,ChloraPrep
INT,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose GSV Catheter,PH240113741092,,,,Purewick catheter
INT,PI,End Stage Kidney Disease,PTA ESKD,VAccess,VAccess,PH240112141027,,,,Purewick catheter
INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Ureter Cat Access,PH240152141054,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Lubrisil I/C Trays W/Bag-Statl,PH240152141105,,,,Purewick catheter
INT,UCC,Endourology,Stone Disposables,Ureterals,Polyurethane Open Tip,PH240152141038,,,,Purewick catheter
INT,PI,End Stage Kidney Disease,PTA ESKD,Conquest PTA,Conquest PTA,PH240112141024,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Lubri-Sil I/C Ty W/Um-Statlock,PH240152141107,,,,Purewick catheter
INT,SUR,Hernia,Groin Hernia,Plugs,Plugs,PH240131941053,,,,PowerPort
INT,SUR,Hernia,Groin Hernia,Groin Open,Soft Mesh,PH240131941056,,,,PowerPort
INT,SUR,Hernia,Fixation,Permanent Fixation,Capsure,PH240131941018,,,,Hypak for Antico
INT,PI,Oncology,Brachy,Brachy Accessories,Packaging,PH240154141052,,,,Plastipak
INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Trays,Sil U/M Trays,PH240152141165,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Strips,Bardex Ic Foley Cath 30cc,PH240152141093,,,,Purewick catheter
INT,PI,Oncology,Ports,Ports,Powerport Clearvue ISP,PH240111041024,,,,Hypak for Antico
INT,PI,Oncology,Other IS,MANNFORD OEM,MANNFORD OEM,PH230400041899,,,,PowerPort
INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Hemostar,PH240112141004,,,,Purewick catheter
INT,PI,Oncology,Markers,UltraClip Markers,Ultraclip,PH240111041077,,,,Safety LOK (Safety Wingset)
INT,SUR,Hernia,Groin Hernia,Groin Open,Mesh Flats,PH240131941048,,,,PowerPort
INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Catheters,Insertion Trays - Sil,PH240153141069,,,,Purewick catheter
INT,SUR,Hernia,Groin Hernia,Groin Lap,3D Max Enhancement,PH240131941070,,,,Hypak for Antico
INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,C/S Bag Antireflux Valve,PH240152141081,,,,Purewick canister & tubing
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,2-Way 5cc,PH240152141172,,,,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,Surestep Ltx Free Tray W/UM,PH240152141211,,,,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Non BD ISC,Laprocath ISC,PH240153141067,,,,Purewick catheter
INT,UCC,Endourology,Stone Disposables,Percutaneous Drainage,Malecots,PH240152141013,,,,Purewick catheter
INT,UCC,Total BD UCC Other,Temporary Pacing Electrodes,Temporary Pacing Electrodes,Balloon Electrodes,PH240154141028,,,,Purewick catheter
INT,PI,Peripheral Vascular Disease,Venous,Filters,Denali,PH240112141032,,,,Hypak for Antico
INT,UCC,Total Home Care Sales,Urology Home Care,Touchless Catheter,Touchless Catheter,PH240153141050,,,,Purewick catheter
INT,PI,BD PI Other,Peripheral Intervention Freight & Rebates,Freight Revenue,Freight Revenue,PH240110541000,,,"BU confirms, accounting term",
INT,PI,Oncology,Brachy,Brachy SourceLink,SourceLink,PH240154141059,,,,PowerPort
INT,PI,Oncology,Vacuum Assisted,EleVation,EleVation - Disposable,PH240111041070,,,,Safety LOK (Safety Wingset)
INT,PI,End Stage Kidney Disease,PTA ESKD,Dorado,Dorado,PH240112141026,,,,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Tubing,Mec Accessories,PH240153141052,,,,Purewick catheter
INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Ellik Disposable,PH240152141048,,,,Purewick catheter
INT,UCC,Endourology,Stone Disposables,Ureterals,Wov Uret Whistle,PH240152141046,,,,Purewick catheter
INT,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX CATHETERS,PH230400041890,,,,Safety LOK (Safety Wingset)
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Histocore,PH240111041046,,,,Safety LOK (Safety Wingset)
INT,UCC,Total Acute Urology,Urological Drainage,IC Specialty Foley,IC Councill,PH240152141115,,,,Purewick catheter
INT,PI,Oncology,Ports,Ports,Powerport ISP MRI,PH240111041027,,,,Hypak for Antico
INT,PI,End Stage Kidney Disease,PTA ESKD,Atlas Gold PTA,Atlas Gold PTA,PH240112141021,,,,Purewick catheter
INT,SUR,Hernia,Ventral,Lap Ventral,Ventralight ST,PH240131941033,,,,Purewick device
INT,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,PH240113741093,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,I/C Add-A-Foley,IC Add-A-Foleu,PH240152141087,,,,PowerPort
INT,SUR,Performance Irrigation and Other Surgery,Performance Irrigation,Pulsed Lavage,Solo Simpulse,PH240130241017,,,,ChloraPrep
INT,PI,End Stage Kidney Disease,PTA ESKD,Atlas PTA,Atlas PTA,PH240112141022,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Pediatric Foleys,PH240152141143,,,,PowerPort
INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Hemosplit,PH240112141003,,,,Purewick catheter
INT,SUR,Hernia,Groin Hernia,Plugs,Light Plug,PH240131941047,,,,PowerPort
INT,UCC,Total Home Care Sales,Urology Home Care,Biopsy - BMD,Maxcore,PH240153141013,,,,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Silicone Trays,Silicone Ictray W/Bag-Statlock,PH240152141131,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Latex Trays,Bdx I/C Temp Sensing W/Statlo,PH240152141121,,,,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,Surestep Ltx Free Tray W/ Bag,PH240152141210,,,,Purewick catheter
INT,UCC,Total BD UCC Other,Wound Drainage,Other Drains - BMD,T-Tube / Bile Bags,PH240154141020,,,,Purewick catheter
INT,UCC,Targeted Temperature Management,TTM Disposables,Arctic Sun-Disposables,Arctic Sun-Disposables,PH240151141077,,,,Hypak for Antico
INT,SUR,Hernia,Ventral,Other Ventral Synthetic,Ventral Flats,PH240131941028,,,,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,3-Way Coude,PH240152141177,,,,PowerPort
INT,PI,Oncology,Catheter Group,Chronic CVC Catheters,Powerline Catheters,PH240111041037,,,,Purewick catheter
INT,PI,Oncology,Ports,Ports,Powerport Clearvue Slim,PH240111041025,,,,PowerPort
