SEG,BU,Platform,Product Category,Product Line,Product Set ,Set ID, Act Rev , Act Units ,COMMENTS,"Exemplar Product 
(Use)"
INT,UCC,Total Home Care Sales,LMS Non Urology,Liberator - Ostomy,Liberator - Ostomy,PH240153141000," $18,956,478 "," 7,647,206 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Other Urology,Catheter Plugs/Misc,PH240152141195," $1,867,006 "," 7,412,472 ",,Plastipak
INT,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,PH240153141019," $11,575,281 "," 6,591,659 ",,Purewick catheter
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Cathether- Coude,PH240153141002," $36,261,261 "," 6,516,665 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Hydrophilic,Magic3 Sil Hydro,PH240153141044," $8,550,594 "," 6,411,089 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Red Rubber,Bard Red Rubber 2,PH240153141038," $4,288,228 "," 6,213,169 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Touchless Catheter,Touchless Plus Catheter,PH240153141051," $12,046,139 "," 5,824,141 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Foley Care,Pericare,PH240152141199," $9,086,279 "," 5,739,264 ",,Plastipak
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Ultraflex,PH240153141028," $4,173,525 "," 5,611,460 ",,Purewick catheter
INT,UCC,Total Home Care Sales,PureWick Home Care,Female External Catheters Liberator,Purewick Liberator cathether,PH240153141004," $21,434,201 "," 5,331,195 ",,Purewick catheter
INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Surgical,10.5 ml,PH230200041697," $15,531,654 "," 5,033,451 ",,ChloraPrep
INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Surgical,26 ml,PH230200041698," $32,379,115 "," 4,609,857 ",,ChloraPrep
INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,Bag Antireflux Chamber,PH240152141078," $10,022,115 "," 3,837,559 ",,Purewick canister & tubing
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - OEM (OUS),Bbraun,PH240153141030," $2,693,506 "," 3,618,300 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Urethral Trays,Surestep Intermittent TRA,PH240152141251," $22,201,394 "," 3,536,945 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Spirit Style 1,PH240153141025," $3,110,239 "," 3,508,556 ",,Purewick catheter
INT,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,PH240112141014," $25,314,766 "," 3,461,128 ",,Hypak for Antico
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,I/C Foley Tray with Statlock,PH240152141097," $43,097,253 "," 3,068,062 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2,PH240153141041," $10,025,427 "," 2,920,136 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Wideband,PH240153141029," $2,844,698 "," 2,886,444 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,LHB,PH240153141021," $2,640,689 "," 2,616,492 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Hydrophilic Coude,Magic3 Coude,PH240153141047," $6,419,637 "," 2,479,010 ",,Purewick catheter
INT,UCC,Total Home Care Sales,PureWick Home Care,PWF DTC,PWF DT Cathether,PH240153141070," $47,828,411 "," 2,332,657 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - OEM (OUS),Porges,PH240153141031," $1,518,964 "," 2,240,000 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Red Rubber,Bardia Red Rubber Coude,PH240153141040," $6,121,562 "," 2,233,578 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Uncoated Urethral Catheters,BD Uncoated,PH240153141059," $821,991 "," 2,071,814 ",,Purewick catheter
INT,UCC,Total Acute Urology,PureWick Acute Care,PureWick Disposable Male,Purewick Disposable Male,PH240152141268," $28,285,451 "," 1,900,490 ",,Purewick catheter
INT,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX BOTTLES,PH230400041889," $88,158,927 "," 1,898,501 ",,Hypak for Antico
INT,UCC,Total Acute Urology,Urological Drainage,Surestep MEC,Surestep MEC,PH240152141242," $10,521,187 "," 1,844,298 ",,Purewick catheter
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Maxcore Needles,PH240111041049," $59,420,083 "," 1,831,049 ",,Safety LOK (Safety Wingset)
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Spirit Style 3,PH240153141027," $2,052,381 "," 1,826,182 ",,Purewick catheter
INT,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters,PH240154141038," $6,395,295 "," 1,791,000 ",,Purewick canister & tubing
INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Strips,Lubri-Sil Catheters,PH240152141162," $8,237,613 "," 1,784,659 ",,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Trays,Sil Bag Trays,PH240152141164," $10,852,823 "," 1,750,857 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Magic 3 Go,Magic 3 Go,PH240153141020," $2,615,689 "," 1,653,046 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,2-Way Coude,PH240152141173," $15,414,876 "," 1,637,588 ",,PowerPort
INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,100cc EVAC,PH240154141007," $7,250,556 "," 1,628,589 ",,Safety LOK (Safety Wingset)
INT,UCC,Total Acute Urology,Urological Drainage,Silicone Strips,All Silicone,PH240152141206," $5,790,135 "," 1,582,677 ",,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,Economy Drainage Products,PH240152141082," $3,858,069 "," 1,554,721 ",,Purewick canister & tubing
INT,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bard Cath Kits,PH240152141224," $2,438,055 "," 1,473,496 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Hydro Latex 5cc Balloon,PH240152141140," $4,463,772 "," 1,470,604 ",,PowerPort
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Magnum Needles,PH240111041048," $24,804,394 "," 1,465,527 ",,Safety LOK (Safety Wingset)
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Surestep Clsd Sys Fol Mtr Tray,PH240152141156," $21,899,940 "," 1,368,135 ",,Purewick catheter
INT,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains,PH240154141006," $18,190,047 "," 1,277,787 ",,Powerport
INT,SUR,Biosurgery,Arista,Arista,Arista,PH240134241004," $143,025,938 "," 1,263,774 ",,Hypak for Antico
INT,UCC,Total Home Care Sales,Urology Home Care,Tubing,Tubing,PH240153141053," $2,607,355 "," 1,194,147 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Hydrophilic Urethral Catheters,BD Ready-To-Use,PH240153141063," $1,509,615 "," 1,187,331 ",,PowerPort
INT,UCC,Total Home Care Sales,Urology Home Care,Bardia Trays,Insertion Trays,PH240153141008," $3,120,650 "," 1,178,355 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,Surestep Brdx Ic 350cc Um Stat,PH240152141099," $22,115,879 "," 1,129,871 ",,Purewick catheter
INT,UCC,Total Home Care Sales,PureWick Home Care,PureWick Disposables Home Care,PureWick Female External,PH240153141055," $7,434,516 "," 1,060,186 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Surestep Clsd Sys Fol Tray Tes,PH240152141157," $11,091,522 "," 1,023,534 ",,Purewick catheter
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Cathether Kit,PH240153141002," $4,007,529 "," 943,964 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Urine Meter Bags,Urine Meter with Bag,PH240152141238," $4,921,091 "," 859,210 ",,Purewick canister & tubing
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Spirit Style 2,PH240153141026," $1,144,816 "," 828,778 ",,Purewick catheter
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Coaxial Needles,PH240111041044," $12,276,629 "," 811,805 ",,Safety LOK (Safety Wingset)
INT,PI,Oncology,Biopsy Needles and Accessories,Mission Needles,Mission Needles,PH240111041055," $31,014,113 "," 804,073 ",,Safety LOK (Safety Wingset)
INT,PI,Oncology,Brachy,Brachy Seeds,Iodine Seeds,PH240154141054," $11,755,613 "," 783,162 ",,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Strips,Bardex Foley Cath 5cc,PH240152141092," $5,622,140 "," 737,192 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,4 Liter Bag,PH240152141077," $2,630,895 "," 733,309 ",,Purewick canister & tubing
INT,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes,PH240154141036," $1,158,952 "," 726,150 ",,Purewick canister & tubing
INT,UCC,Total Home Care Sales,Urology Home Care,Bardia Drainbags,Drainbags,PH240153141005," $1,565,819 "," 724,312 ",,Purewick catheter
INT,UCC,Total BD UCC Other,Airway,Statlock - Nasogastric,Statlock - Nasogastric,PH240154141048," $911,230 "," 720,881 ",,Purewick canister & tubing
INT,PI,Oncology,Biopsy Needles and Accessories,Marquee Needles,Marquee Needles,PH240111041054," $43,328,254 "," 707,884 ",,Safety LOK (Safety Wingset)
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Surestep Econ Dran Ltx Tray,PH240152141159," $7,214,257 "," 689,769 ",,Purewick catheter
INT,PI,BD PI Other,OEM,Textiles OEM,Textiles OEM,PH240110541066," $10,980,202 "," 670,886 ",,Safety LOK (Safety Wingset)
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Cathether,PH240153141002," $1,323,247 "," 659,936 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Closed System Foley Trays Tes,PH240152141147," $6,068,022 "," 616,585 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Trays,Surestep Sil Bag Tray,PH240152141166," $7,000,900 "," 596,470 ",,Purewick catheter
INT,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes 2,PH240154141037," $1,236,859 "," 595,550 ",,Purewick canister & tubing
INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Trays,Surestep Sil U/M Tray,PH240152141167," $10,048,538 "," 588,480 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,Surestep Ic Fol Tray W/ Statlock,PH240152141101," $8,152,024 "," 569,664 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Catheter Maintenance,Optiflo Irrigation Soln,PH240153141066," $1,793,888 "," 521,136 ",,ChloraPrep
INT,UCC,Endourology,Stone Disposables,Stents,FMI Lubricious Stent,PH240152141025," $34,124,990 "," 518,971 ",,Hypak for Antico
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Latex Trays,PH240152141265," $4,484,213 "," 505,106 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Surestep Lubri Ic Ty W/Umstat,PH240152141111," $10,733,687 "," 504,906 ",,Purewick catheter
INT,PI,Oncology,Vacuum Assisted,Encor Probes,Encor GP Probes,PH240111041061," $106,155,629 "," 502,177 ",,Hypak for Antico
INT,UCC,Total Acute Urology,Urological Drainage,IC Coated Meters & Bags,I/C Drain Bags,PH240152141090," $2,292,396 "," 500,206 ",,PowerPort
INT,SUR,Infection Prevention - Surgical,Other IP,Bulk Solutions,Bulk Solutions,PH230200041716," $724,390 "," 497,862 ",,Powerport
INT,PI,Peripheral Vascular Disease,PTA PVD,Other PTA,Presto,PH240113741024," $12,316,154 "," 489,748 ",,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bardex Int Cath,PH240152141228," $1,540,961 "," 485,486 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Popon,PH240153141023," $466,863 "," 474,430 ",,Purewick catheter
INT,SUR,Performance Irrigation and Other Surgery,Tepha OEM,Tepha OEM,Tepha OEM,PH240130241025," $635,545 "," 452,555 ",,PowerPort
INT,UCC,Total BD UCC Other,Wound Drainage,Wound and Skin Care,Medi-Aire,PH240154141023," $1,400,575 "," 441,487 ",,ChloraPrep
INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,Surestep W/All Sil W/UM,PH240152141213," $7,248,743 "," 434,810 ",,Purewick catheter
INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,CWS 400 Kits,PH240154141008," $3,370,381 "," 431,081 ",,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Latex Trays,Surestep Bdx Ic Temp Sens Stat,PH240152141123," $12,326,277 "," 431,067 ",,Purewick catheter
INT,UCC,Total Acute Urology,Fecal Drainage,Dignicare Accessories,FCD Accessories,PH240152141061," $1,624,132 "," 424,004 ",,ChloraPrep
INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,Latex Free Drain Bag,PH240152141083," $1,034,953 "," 423,769 ",,Purewick canister & tubing
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,3-Way 30cc,PH240152141175," $3,611,857 "," 422,365 ",,PowerPort
INT,PI,Oncology,BIOPSY,Soft Tissue - Oncology,SOFT TISSUE MANUAL,PH240111041009," $5,790,152 "," 413,738 ",,Neopak
INT,PI,Oncology,ACUTE DRAINAGE,THORA-PARA,THORA/PARA TRAYS,PH230400041870," $11,900,124 "," 404,089 ",,Purewick catheter
INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Surgical,Marker Pen,PH230200041699," $271,770 "," 401,950 ",,Hypak for Antico
INT,PI,Oncology,BIOPSY,Bone,Jamshidi,PH230400041918," $7,946,905 "," 397,669 ",,Safety LOK (Safety Wingset)
INT,UCC,Total Acute Urology,Urological Drainage,IC Specialty Foley,IC 2-Way Coude,PH240152141112," $6,083,551 "," 394,802 ",,Purewick catheter
INT,SUR,Infection Prevention - Surgical,Hair Removal,ClipVac,ClipVac Disposables,PH230200041704," $3,303,312 "," 393,097 ",,Neopak
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Low Cost Lubricath,PH240152141141," $1,036,153 "," 390,250 ",,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Silicone Trays,Surestep Sil Ictray Bag Stat,PH240152141134," $11,790,890 "," 388,608 ",,Purewick catheter
INT,PI,Oncology,Vacuum Assisted,Encor Probes,Encor Disposable Accessories,PH240111041060," $6,074,732 "," 381,268 ",,Safety LOK (Safety Wingset)
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Monopty Needles,PH240111041050," $10,875,423 "," 370,276 ",,Safety LOK (Safety Wingset)
INT,PI,Oncology,Markers,UltraClip Markers,Ultraclip DT,PH240111041078," $26,042,597 "," 364,871 ",,Safety LOK (Safety Wingset)
INT,UCC,Endourology,Stone Disposables,Stents,Endourology Guidewires,PH240152141024," $12,742,286 "," 339,528 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Surestep Lub Ic Tay W/Bag Stat,PH240152141108," $5,296,882 "," 338,500 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Temp Sensing Silicone Trays,Surestep Temp Mon U/M Sil Tray,PH240152141222," $7,920,468 "," 336,486 ",,Purewick catheter
INT,PI,Oncology,ACUTE DRAINAGE,SAFE-T-CENTESIS,SAFE-T-CENTESIS TRAYS,PH230400041866," $19,138,153 "," 320,756 ",,Purewick catheter
INT,SUR,Biosurgery,Avitene,Avitene,Avitene - Domestic,PH240134241000," $23,748,091 "," 311,917 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Catheters,HC Foley Catheter,PH240153141043," $2,858,811 "," 309,530 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,Councill,PH240152141181," $3,932,201 "," 302,518 ",,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Latex Trays,Latex 350cc Tray,PH240152141153," $3,950,745 "," 299,815 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,PVC Catheters,PVC Strips,PH240153141035," $177,227 "," 299,360 ",,Purewick catheter
INT,SUR,Hernia,Groin Hernia,Groin Lap,3D Max Mesh,PH240131941041," $39,024,848 "," 286,933 ",,Hypak for Antico
INT,SUR,Hernia,Groin Hernia,Groin Lap,Light 3D Max Mesh,PH240131941046," $40,420,726 "," 285,214 ",,Hypak for Antico
INT,PI,Oncology,BIOPSY,Bone,Illinois,PH230400041916," $2,898,953 "," 284,497 ",,Safety LOK (Safety Wingset)
INT,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,PH230400041888," $3,366,319 "," 280,855 ",,Purewick canister & tubing
INT,PI,Oncology,Ports,Ports,Powerport ISP,PH240111041026," $60,874,800 "," 274,364 ",,Hypak for Antico
INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Flat Drains,PH240154141013," $1,493,622 "," 269,382 ",,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,Surestep W/All Sil W/Bag,PH240152141212," $2,736,910 "," 263,890 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Silicone Trays,W/All Sil W/Bag,PH240152141215," $1,600,989 "," 262,590 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Coated Meters & Bags,Surestep 350cc U/M Bag,PH240152141091," $2,740,514 "," 260,520 ",,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Silastic Catheters,PH240152141144," $2,049,217 "," 258,761 ",,PowerPort
INT,UCC,Endourology,Stone Disposables,Stents,Polyurethane Stents,PH240152141027," $22,239,550 "," 253,320 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Temp Sensing Latex Strips,Bardex I/C Temp Sensing,PH240152141120," $4,687,676 "," 243,106 ",,PowerPort
INT,PI,Oncology,Markers,Localization Wire,Localization Wires,PH240111041053," $6,546,922 "," 237,199 ",,Safety LOK (Safety Wingset)
INT,UCC,Total Acute Urology,Urological Drainage,Latex Strips,Hydro Latex 30cc Balloon,PH240152141139," $858,941 "," 235,605 ",,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,Temp Sensing Latex Trays,Surestep Temp Mon U/M,PH240152141220," $5,321,769 "," 235,240 ",,Purewick catheter
INT,SUR,Infection Prevention - Surgical,PurPrep,PurPrep,26 ml,PH230200041734," $920,547 "," 228,000 ",,Purewick catheter
INT,SUR,Performance Irrigation and Other Surgery,Performance Irrigation,Laparoscopic,Hydro-Surg Plus,PH240130241011," $9,074,886 "," 226,420 ",,Veritor device
INT,UCC,Total Acute Urology,Urological Drainage,Other Urine Collection Devices,W/O Cath W/UM Bag,PH240152141192," $401,754 "," 220,803 ",,Purewick canister & tubing
INT,UCC,Total Acute Urology,Fecal Drainage,Dignishield,Dignishield,PH240152141063," $26,039,723 "," 220,101 ",,Hypak for Antico
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,Bardx Ic W/350cc UM W/Statlock,PH240152141095," $3,691,769 "," 218,790 ",,Purewick catheter
INT,PI,End Stage Kidney Disease,Chronic Dialysis Catheters,Chronic Dialysis,Glidepath,PH240112141002," $50,231,969 "," 218,580 ",,Hypak for Antico
INT,SUR,Biosurgery,Avitene,Avitene,Foam,PH240134241002," $10,574,423 "," 212,490 ",,Purewick catheter
INT,SUR,Hernia,Ventral,Umbilical Ventral,Ventralex ST,PH240131941020," $75,109,826 "," 204,470 ",,Hypak for Antico
INT,PI,Oncology,Brachy,Brachy Services,Brachy Services,PH240111041117," $4,370,674 "," 202,405 ","BU confirms, accounting term",
INT,PI,Oncology,Brachy,Brachy Services,Brachy Loading,PH240111041116, $1 ," 201,029 ",Unknown BU cannot confirm,
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Brief/Diaper,PH240153141002," $98,977 "," 196,627 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,Bardia Strips,Bardia Sil Catheter,PH240153141006," $450,423 "," 195,296 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Strips,Lubri-Sil I/C Catheters,PH240152141103," $1,678,970 "," 194,816 ",,Purewick catheter
INT,PI,BD PI Other,OEM,Guidewires OEM,Guidewires OEM,PH240110541063," $1,067,229 "," 188,614 ",,Safety LOK (Safety Wingset)
INT,PI,Oncology,Markers,Senomark Markers,Senomark Ultra,PH240111041073," $13,803,904 "," 180,875 ",,Safety LOK (Safety Wingset)
INT,PI,Oncology,Markers,UltraClip Markers,Twirl Marker,PH240111041076," $14,554,606 "," 176,720 ",,Safety LOK (Safety Wingset)
INT,PI,Oncology,Drainage,Navarre,Navarre Catheters,PH240111041083," $15,755,401 "," 174,961 ",,Purewick catheter
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Liners Guards pads,PH240153141002," $28,416 "," 172,707 ",,Purewick catheter
INT,PI,Oncology,Diagnostic Trays,Trays,STANDARD TRAYS,PH230400041894," $1,785,406 "," 171,823 ",,Purewick catheter
INT,PI,Oncology,Brachy,Brachy Needles,Brachy Needles,PH240154141050," $1,296,990 "," 170,143 ",,Safety LOK (Safety Wingset)
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,3-Way Hematuria,PH240152141178," $3,291,877 "," 163,263 ",,PowerPort
INT,SUR,Infection Prevention - Surgical,Hand Hygiene,Scrubs,Scrub Solutions,PH230200041710," $3,171,912 "," 157,214 ",,ChloraPrep
INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Round Drains,PH240154141014," $997,304 "," 155,438 ",,PowerPort
INT,PI,End Stage Kidney Disease,PTA ESKD,Conquest 40 PTA,Conquest 40 PTA,PH240112141023," $25,919,228 "," 154,264 ",,Hypak for Antico
INT,UCC,Total Acute Urology,Urological Drainage,Urine Meter Bags,Urine Meter Latex Free(Not On,PH240152141236," $914,549 "," 152,704 ",,Purewick canister & tubing
INT,PI,Peripheral Vascular Disease,PTA PVD,Ultraverse,Ultraverse 035,PH240113741032," $15,682,132 "," 148,851 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Specialty Foley,IC 3-Way 30cc,PH240152141113," $1,866,672 "," 146,423 ",,Purewick catheter
INT,PI,Oncology,Ports,Ports,Non-Power Ports,PH240111041022," $23,550,909 "," 145,190 ",,PowerPort
INT,UCC,Total Acute Urology,Urological Drainage,IC Coated Meters & Bags,350cc U/M Bag,PH240152141089," $953,084 "," 144,212 ",,PowerPort
INT,PI,Oncology,BIOPSY,Bone,Bone marrow biopsy tray,PH230400041917," $4,353,672 "," 143,397 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Natural,PH240153141022," $103,247 "," 143,375 ",,Purewick catheter
INT,SUR,Infection Prevention - Surgical,Surgical Wound Irrigation,Surgiphor,Single Irrigation Solution,PH230200041742," $10,265,661 "," 143,321 ",,ChloraPrep
INT,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose GSV Catheter,PH240113741092," $21,527,842 "," 141,553 ",,Purewick catheter
INT,PI,End Stage Kidney Disease,PTA ESKD,VAccess,VAccess,PH240112141027," $8,190,930 "," 137,268 ",,Purewick catheter
INT,UCC,Endourology,Endourology Other,Urology Miscellaneous,Ureter Cat Access,PH240152141054," $85,381 "," 131,064 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Lubrisil I/C Trays W/Bag-Statl,PH240152141105," $1,940,806 "," 130,525 ",,Purewick catheter
INT,UCC,Endourology,Stone Disposables,Ureterals,Polyurethane Open Tip,PH240152141038," $1,699,894 "," 130,397 ",,Purewick catheter
INT,PI,End Stage Kidney Disease,PTA ESKD,Conquest PTA,Conquest PTA,PH240112141024," $22,827,827 "," 129,291 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Lubrisil Trays,Lubri-Sil I/C Ty W/Um-Statlock,PH240152141107," $2,340,193 "," 122,594 ",,Purewick catheter
INT,SUR,Hernia,Groin Hernia,Plugs,Plugs,PH240131941053," $17,806,470 "," 122,356 ",,PowerPort
INT,SUR,Hernia,Groin Hernia,Groin Open,Soft Mesh,PH240131941056," $7,377,969 "," 121,115 ",,PowerPort
INT,SUR,Hernia,Fixation,Permanent Fixation,Capsure,PH240131941018," $28,191,503 "," 119,728 ",,Hypak for Antico
INT,PI,Oncology,Brachy,Brachy Accessories,Packaging,PH240154141052, $171 ," 116,979 ",,Plastipak
INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Trays,Sil U/M Trays,PH240152141165," $1,580,111 "," 116,309 ",,Purewick catheter
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Strips,Bardex Ic Foley Cath 30cc,PH240152141093," $887,363 "," 116,014 ",,Purewick catheter
INT,PI,Oncology,Ports,Ports,Powerport Clearvue ISP,PH240111041024," $37,592,646 "," 114,471 ",,Hypak for Antico
