,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 11 (USE)
0,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041428,Posiflush - Colubmus - US,PH210210051655,10ml,306546,SYRINGE 10ML REG PR SALINE 10ML FILL,306546-SYRINGE 10ML REG PR SALINE 10ML FILL,MDS-306546,"$262,903,115 ","1,039,603,178",,Plastipak
1,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421900,Other Specimen Acquisition,PH210900434000,Single Use Holders,PH210900441224,ONE-USE NON-STACK,PH210900451238,ONE-USE NON-STACK,364815,HOLDER ONE USE NONSTACKABLE,364815-HOLDER ONE USE NONSTACKABLE,SM-364815,"$27,431,888 ","963,649,112",,Plastipak
2,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121350,Tubes - Hematology,PH210900131900,PT EDTA,PH210900141075,EDTA PLASTIC HEMO,PH210900151075,EDTA PLASTIC HEMO,367861,TUBE EDTA PLH 13X75 4.0 PLBL LAV,367861-TUBE EDTA PLH 13X75 4.0 PLBL LAV,SM-367861,"$44,633,234 ","606,618,608",,Vacutainer tubes
3,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031004,3pc Conventional Small - SYRINGE ONLY,PH210230041049,Syringe Only,PH210230051096,3ml,309657,SYRINGE 3ML LL 200 S/C,309657-SYRINGE 3ML LL 200 S/C,MDS-309657,"$33,586,017 ","534,864,599",,Plastipak
4,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031004,3pc Conventional Small - SYRINGE ONLY,PH210230041037,10cc Syringes Only - Hypodermic,PH210230051064,10CC SYR LL ONLY,302995,SYRINGE 10ML LL S/C 200,302995-SYRINGE 10ML LL S/C 200,MDS-302995,"$51,194,258 ","508,046,346",,Plastipak
5,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141105,SST PLASTIC HEMO,PH210900151106,SST PLASTIC HEMO,367986,Tube SST PLH 13X100mm 5.0ml PLBL Gold,367986-Tube SST PLH 13X100mm 5.0ml PLBL Gold,SM-367986,"$64,596,695 ","445,320,658",,Vacutainer tubes
6,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141103,SST II PLASTIC HEMO,PH210900151104,SST II PLASTIC HEMO,367955,TUBE SST II PLH 13X100 5.0 PLBL CE GLD,367955-TUBE SST II PLH 13X100 5.0 PLBL CE GLD,SM-367955,"$36,695,890 ","386,920,988",,Vacutainer tubes
7,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121350,Tubes - Hematology,PH210900131900,PT EDTA,PH210900141075,EDTA PLASTIC HEMO,PH210900151075,EDTA PLASTIC HEMO,367856,TUBE EDTA PLH 13X75 3.0 PLBL LAV,367856-TUBE EDTA PLH 13X75 3.0 PLBL LAV,SM-367856,"$25,056,052 ","352,187,641",,Vacutainer tubes
8,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041429,Posiflush SP - Columbus - CE,PH210210051658,CE SALINE,306575,SYRINGE 10ML SALINE FILL CE,306575-SYRINGE 10ML SALINE FILL CE,MDS-306575,"$82,714,529 ","324,239,656",,Plastipak
9,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421850,Needles,PH210900434500,Safety Needle Eclipse,PH210900441251,Eclipse Needles,PH210900451266,ECLIPSE NEEDLES,368607,NEEDLE ECLIPSE 21X1.25,368607-NEEDLE ECLIPSE 21X1.25,SM-368607,"$50,457,390 ","298,777,396",,Safety Wingset
10,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021003,Safety Hypodermic Products,PH210230031027,Blunt Fill Needle / Combo,PH210230041143,BFN LARGE BORE,PH210230051261,BFN LONG LENGTH,305180,NEEDLE 18X1-1/2 BLUNT FILL,305180-NEEDLE 18X1-1/2 BLUNT FILL,MDS-305180,"$20,377,706 ","298,186,311",,Safety Wingset
11,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041428,Posiflush - Colubmus - US,PH210210051655,10ml,306547,SYR 10ML PUMP COMPATIBLE SALINE 10ML FIL,306547-SYR 10ML PUMP COMPATIBLE SALINE 10ML FIL,MDS-306547,"$70,600,992 ","276,884,432",,Plastipak
12,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310032950,Stopper Mid Tier,PH210310041112,TSCF/TCF,PH210310051286,1-3ml,47433210,HYPAK TSCF1-3ML FM457/0GREY EV LID HFV,47433210-HYPAK TSCF1-3ML FM457/0GREY EV LID HFV,PS-47433210,"$11,180,325 ","272,955,001",,Vacutainer tubes
13,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032750,Hypak for Biotech,PH210310041099,SCF Needle,PH210310051222,1mlL,47591126,HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,47591126-HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,PS-47591126,"$130,394,588 ","269,105,280",,Hypak for Vaccine
14,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141104,SST PLASTIC CONV,PH210900151105,SST PLASTIC CONV,367988,Tube SST PLC 16X100mm 8.5ml PLBL RD/GR,367988-Tube SST PLC 16X100mm 8.5ml PLBL RD/GR,SM-367988,"$40,170,339 ","247,892,293",,Vacutainer tubes
15,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421850,Needles,PH210900434450,Conventional Needles,PH210900441248,NEEDLES CONVENTIONAL,PH210900451263,NEEDLES CONV,360213,NEEDLE CNV 21X1.5 MLTSMP CE,360213-NEEDLE CNV 21X1.5 MLTSMP CE,SM-360213,"$15,233,309 ","226,908,898",,Safety Wingset
16,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132100,PT PST,PH210900141092,PST PLASTIC HEMO,PH210900151093,PST PLASTIC HEMO,367962,TUBE PST PLH 13X100 4.5 PLBL L/GN,367962-TUBE PST PLH 13X100 4.5 PLBL L/GN,SM-367962,"$42,574,868 ","225,189,800",,Vacutainer tubes
17,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2302052,Skin Prep & Securement,PH230205221023,Skin Prep,PH230205231122,ChloraPrep 1mL,PH230205241456,"CHP-IPA, No Tint",PH230205251690,"CHP-IPA, No Tint",930480NSB,1ML APPLICATOR CHLORAPREP NS BULK,930480NSB-1ML APPLICATOR CHLORAPREP NS BULK,MDS-930480NSB,"$50,570,307 ","209,127,501",,Chloraprep
18,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121350,Tubes - Hematology,PH210900131900,PT EDTA,PH210900141075,EDTA PLASTIC HEMO,PH210900151075,EDTA PLASTIC HEMO,368856,TUBE EDTA PLH 13X75 3.0 PLBLCE LAV,368856-TUBE EDTA PLH 13X75 3.0 PLBLCE LAV,SM-368856,"$13,374,838 ","208,987,796",,Vacutainer tubes
19,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132100,PT PST,PH210900141092,PST PLASTIC HEMO,PH210900151093,PST PLASTIC HEMO,367960,TUBE PST PLH 13X75 3.0 PLBL L/GN,367960-TUBE PST PLH 13X75 3.0 PLBL L/GN,SM-367960,"$39,398,818 ","207,673,005",,Vacutainer tubes
20,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310033000,Stopper High Tier,PH210310041116,TSCF/TCF,PH210310051292,1-3ml,47605610,HYPAK,47605610-HYPAK,PS-47605610,"$51,810,421 ","201,329,610",,Vacutainer tubes
21,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121300,Tubes - Coagulation,PH210900131850,PT Citrate,PH210900141071,CITRATE PLASTIC HEMO,PH210900151071,CITRATE PLASTIC HEMO,363083,TUBE CIT PLH 13X75 2.7 PLBL L/BL .109,363083-TUBE CIT PLH 13X75 2.7 PLBL L/BL .109,SM-363083,"$22,704,600 ","201,250,426",,Vacutainer tubes
22,BDI,SUR,Surgery,SUR,Surgery,2302000,Infection Prevention - Surgical,PH230200021045,Other IP,PH230200031207,Other,PH230200041719,Other,PH230200051970,Other,0-720115D,"TINTING SOLUTION, DOMESTIC ORANGE","0-720115D-TINTING SOLUTION, DOMESTIC ORANGE",SUR-0-720115D,"$376,745 ","198,602,778",,Chloraprep
23,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031004,3pc Conventional Small - SYRINGE ONLY,PH210230041049,Syringe Only,PH210230051097,5ml,309646,SYRINGE 5ML LL SP125,309646-SYRINGE 5ML LL SP125,MDS-309646,"$18,475,616 ","186,197,237",,Plastipak
24,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310032900,Stopper Low Tier,PH210310041108,TSCF/TCF,PH210310051260,1mlL,47292810,HYPAK TSCF1MLL PH701/50 EV LID,47292810-HYPAK TSCF1MLL PH701/50 EV LID,PS-47292810,"$5,380,670 ","183,987,889",,Vacutainer tubes
25,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121350,Tubes - Hematology,PH210900131900,PT EDTA,PH210900141075,EDTA PLASTIC HEMO,PH210900151075,EDTA PLASTIC HEMO,368861,TUBE EDTA PLH 13X75 4.0 PLBLCE LAV,368861-TUBE EDTA PLH 13X75 4.0 PLBLCE LAV,SM-368861,"$12,215,580 ","180,304,065",,Vacutainer tubes
26,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021150,Component,PH210310032050,PFS Component,PH210310041052,Bulk Plunger Rod,PH210310051104,1ml,47404008,HYPAK PR1ML PSTYR CRISTAL REDUCED,47404008-HYPAK PR1ML PSTYR CRISTAL REDUCED,PS-47404008,"$2,199,799 ","174,562,500",,Vacutainer tubes
27,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031001,2-Piece Conventional - SYRINGE ONLY,PH210230041006,10ml Syringe Only,PH210230051006,10ml Syringe Only,309110,SYRINGE S2 10ML,309110-SYRINGE S2 10ML,MDS-309110,"$7,825,032 ","169,086,500",,Plastipak
28,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310033000,Stopper High Tier,PH210310041116,TSCF/TCF,PH210310051291,1mlL,47618719,HYPAK TSCF1MLL4023FLUR EV LID PP HSS RP,47618719-HYPAK TSCF1MLL4023FLUR EV LID PP HSS RP,PS-47618719,"$40,952,138 ","167,982,080",,Vacutainer tubes
29,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021003,Safety Hypodermic Products,PH210230031027,Blunt Fill Needle / Combo,PH210230041143,BFN LARGE BORE,PH210230051261,BFN LONG LENGTH,303129,NDLE 18GA 1-1/2IN BLT FILL NC TW SHLD,303129-NDLE 18GA 1-1/2IN BLT FILL NC TW SHLD,MDS-303129,"$7,399,490 ","162,053,100",,Safety Wingset
30,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031009,Conventional Needles,PH210230041067,Large Bore Needles,PH210230051129,SHORT LENGTH,303262,NEEDLE 18X1-1/2 RB TW,303262-NEEDLE 18X1-1/2 RB TW,MDS-303262,"$4,188,429 ","161,815,518",,Plastipak
31,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421850,Needles,PH210900434500,Safety Needle Eclipse,PH210900441251,Eclipse Needles,PH210900451266,ECLIPSE NEEDLES,368609,NEEDLE ECLIPSE 21X1.25 CE,368609-NEEDLE ECLIPSE 21X1.25 CE,SM-368609,"$18,095,004 ","145,571,184",,Safety Wingset
32,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031011,Emerald - COMBOS,PH210230041075,3ml Syringes w/Ndl,PH210230051141,3ml Syringes w/Ndl,307754,SYRINGE 3ML LS 24X1 AN BAWAL,307754-SYRINGE 3ML LS 24X1 AN BAWAL,MDS-307754,"$5,140,023 ","144,647,200",,Plastipak
33,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310032900,Stopper Low Tier,PH210310041108,TSCF/TCF,PH210310051258,0.5ml,47286910,HYPAK TSCF0.5ML PH701/50CBLK AVENTIS,47286910-HYPAK TSCF0.5ML PH701/50CBLK AVENTIS,PS-47286910,"$3,055,742 ","143,990,000",,Vacutainer tubes
34,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021150,Component,PH210310032050,PFS Component,PH210310041052,Bulk Plunger Rod,PH210310051112,1.5ml,47404108,HYPAK PR1.5ML REDUCED THREAD,47404108-HYPAK PR1.5ML REDUCED THREAD,PS-47404108,"$1,296,059 ","142,304,950",,Vacutainer tubes
35,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031001,2-Piece Conventional - SYRINGE ONLY,PH210230041011,5ml Syringe Only,PH210230051011,5ml Syringe Only,309050,SYRINGE S2 5ML,309050-SYRINGE S2 5ML,MDS-309050,"$4,700,151 ","142,016,100",,Plastipak
36,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031001,2-Piece Conventional - SYRINGE ONLY,PH210230041011,5ml Syringe Only,PH210230051011,5ml Syringe Only,309050,SYRINGE S2 5ML,309050-SYRINGE S2 5ML,MDS-309050,"$4,700,151 ","142,016,100",,Plastipak
37,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141103,SST II PLASTIC HEMO,PH210900151104,SST II PLASTIC HEMO,367957,TUBE SST II PLH 13X75 3.5 PLBL CE GLD,367957-TUBE SST II PLH 13X75 3.5 PLBL CE GLD,SM-367957,"$13,479,095 ","139,633,789",,Vacutainer tubes
38,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103300,PS Safety,PH210330021700,Device,PH210330034400,Preventis,PH210330041165,Preventis device,PH210330051372,All,47165601,BD PREVENTIS 1/2IN HYPAK SAFETY DEVICE,47165601-BD PREVENTIS 1/2IN HYPAK SAFETY DEVICE,PS-47165601,"$26,700,115 ","138,020,400",,Safety wingset
39,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141105,SST PLASTIC HEMO,PH210900151106,SST PLASTIC HEMO,367983,Tube SST PLH 13X75mm 3.5ml PLBL Gold,367983-Tube SST PLH 13X75mm 3.5ml PLBL Gold,SM-367983,"$19,464,722 ","137,775,211",,Vacutainer tubes
40,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310032900,Stopper Low Tier,PH210310041107,BSCF/BCF/BCA,PH210310051250,0.5ml,47266619,HYPAK BSCF0.5ML PH701/50BLK SI1000 PPL,47266619-HYPAK BSCF0.5ML PH701/50BLK SI1000 PPL,PS-47266619,"$3,874,755 ","136,512,000",,Vacutainer tubes
41,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032500,Hypak for Antico,PH210310041132,SCF Needle RNS,PH210310051334,0.5ml,47383126,HYPAK SCF0.5ML 27GA1/2IN-5B RNS4800,47383126-HYPAK SCF0.5ML 27GA1/2IN-5B RNS4800,PS-47383126,"$29,412,076 ","135,856,160",,Hypak for Antico
42,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032750,Hypak for Biotech,PH210310041099,SCF Needle,PH210310051222,1mlL,47591119,HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,47591119-HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,PS-47591119,"$74,471,907 ","135,352,320",,Hypak for Vaccine
43,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031001,2-Piece Conventional - SYRINGE ONLY,PH210230041010,3ml Syringe Only,PH210230051010,3ml Syringe Only,300928,SYRINGE S2 2ML,300928-SYRINGE S2 2ML,MDS-300928,"$3,312,939 ","128,870,600",,Plastipak
44,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031001,2-Piece Conventional - SYRINGE ONLY,PH210230041010,3ml Syringe Only,PH210230051010,3ml Syringe Only,300928,SYRINGE S2 2ML,300928-SYRINGE S2 2ML,MDS-300928,"$3,312,939 ","128,870,600",,Plastipak
45,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032500,Hypak for Antico,PH210310041132,SCF Needle RNS,PH210310051334,0.5ml,47383130,HYPAK SCF0.5ML 27GA1/2IN-5B RNS4800,47383130-HYPAK SCF0.5ML 27GA1/2IN-5B RNS4800,PS-47383130,"$28,379,424 ","128,828,160",,Hypak for Antico
46,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031004,3pc Conventional Small - SYRINGE ONLY,PH210230041049,Syringe Only,PH210230051092,1ml LL,309628,SYRINGE 1ML LL,309628-SYRINGE 1ML LL,MDS-309628,"$36,573,000 ","116,215,580",,Plastipak
47,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041429,Posiflush SP - Columbus - CE,PH210210051658,CE SALINE,306574,SYRINGE 5ML SALINE FILL CE,306574-SYRINGE 5ML SALINE FILL CE,MDS-306574,"$27,880,495 ","112,953,509",,Plastipak
48,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032750,Hypak for Biotech,PH210310041099,SCF Needle,PH210310051222,1mlL,47591110,HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,47591110-HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,PS-47591110,"$51,592,777 ","112,922,580",,Hypak for Vaccine
49,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421650,Devices,PH210900433800,Luer Lok Access Device,PH210900441217,LUER-LOK ACCESS DEVICE,PH210900451230,MALE LUER,36490200,BD LUER-LOK ACCESS DEVICE,36490200-BD LUER-LOK ACCESS DEVICE,SM-36490200,"$49,445,031 ","112,778,181",,Safety Wingset
50,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032500,Hypak for Antico,PH210310041132,SCF Needle RNS,PH210310051335,1mlL,47386526,HYPAK SCF1MLL27GA1/2IN-5B P136 RNS4800,47386526-HYPAK SCF1MLL27GA1/2IN-5B P136 RNS4800,PS-47386526,"$20,880,268 ","110,382,239",,Hypak for Antico
51,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121350,Tubes - Hematology,PH210900131900,PT EDTA,PH210900141075,EDTA PLASTIC HEMO,PH210900151075,EDTA PLASTIC HEMO,367841,TUBE K2EDTA PLH 13X75 2.0 PLBL LAV,367841-TUBE K2EDTA PLH 13X75 2.0 PLBL LAV,SM-367841,"$9,453,177 ","109,787,900",,Vacutainer tubes
52,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031046,3pc Conventional Large - SYRINGE ONLY,PH210230041210,Syringe Only,PH210230051093,20ml,302830,SYRINGE 20ML LL S/C 48,302830-SYRINGE 20ML LL S/C 48,MDS-302830,"$26,201,433 ","105,387,728",,Plastipak
53,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032400,Hypak for Vaccine,PH210310041137,SCF Luer PRTC,PH210310051344,1.5ml,47578826,HYPAKSCF1.5MLRF PRTCW7025/65 EBPP PPLHFV,47578826-HYPAKSCF1.5MLRF PRTCW7025/65 EBPP PPLHFV,PS-47578826,"$36,853,235 ","105,380,200",,Hypak for Vaccine
54,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031012,Emerald - SYRINGES ONLY,PH210230041079,10ml Syringes Only,PH210230051145,10ml Syringes Only,307736,SYRINGE 10ML LS EMERALD,307736-SYRINGE 10ML LS EMERALD,MDS-307736,"$5,648,076 ","104,573,721",,Plastipak
55,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041428,Posiflush - Colubmus - US,PH210210051655,10ml,30654778,SYR 10ML PUMP COMPATIBLE SALINE 10ML FIL,30654778-SYR 10ML PUMP COMPATIBLE SALINE 10ML FIL,MDS-30654778,"$26,986,254 ","103,604,160",,Plastipak
56,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421850,Needles,PH210900434500,Safety Needle Eclipse,PH210900441251,Eclipse Needles,PH210900451266,ECLIPSE NEEDLES,368608,NEEDLE ECLIPSE 22X1.25,368608-NEEDLE ECLIPSE 22X1.25,SM-368608,"$16,549,926 ","101,815,754",,Safety Wingset
57,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310033450,Effivax,PH210310041127,SCF Luer PRTC,PH210310051314,1.25ml,47546030,EFFIVAX SCF 1.25ML CF PRTCFM30 EB PP,47546030-EFFIVAX SCF 1.25ML CF PRTCFM30 EB PP,PS-47546030,"$36,289,302 ","101,052,200",,Hypak for Antico
58,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421950,Wingsets,PH210900434750,Safety Wingset PBBCS,PH210900441264,PBBCS,PH210900451282,PBBCS W/LUER 12IN,367342,WINGSET PBBCS 23X.75 12 LUER,367342-WINGSET PBBCS 23X.75 12 LUER,SM-367342,"$114,798,199 ","100,604,241",,Safety Wingset
59,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031004,3pc Conventional Small - SYRINGE ONLY,PH210230041037,10cc Syringes Only - Hypodermic,PH210230051064,10CC SYR LL ONLY,990172,SYRINGE PLASTIPAK 10ML S/SU,990172-SYRINGE PLASTIPAK 10ML S/SU,MDS-990172,"$5,855,711 ","99,634,177",,Plastipak
60,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310032900,Stopper Low Tier,PH210310041107,BSCF/BCF/BCA,PH210310051254,1mlL,47245410,HYPAK BSCF1MLL PH701/50CBLK SI1000 LID,47245410-HYPAK BSCF1MLL PH701/50CBLK SI1000 LID,PS-47245410,"$2,619,619 ","96,939,000",,Vacutainer tubes
61,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421950,Wingsets,PH210900434950,Safety Wingset SLBCS,PH210900441273,SLBCS,PH210900451295,SLBCS W/LUER 12IN,367283,WINGSET SLBCS 23X.75 12LUER,367283-WINGSET SLBCS 23X.75 12LUER,SM-367283,"$67,001,214 ","96,782,092",,Safety Wingset
62,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041428,Posiflush - Colubmus - US,PH210210051655,10ml,30654678,SYRINGE 10ML REG PR SALINE 10ML FILL,30654678-SYRINGE 10ML REG PR SALINE 10ML FILL,MDS-30654678,"$24,798,523 ","95,703,120",,Plastipak
63,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421650,Devices,PH210900433650,Multi Sample Luer Adaptor,PH210900441213,LUER ADAPTERS,PH210900451226,LUER ADAPTERS,367300,Luer Adapter Multi Sample CE,367300-Luer Adapter Multi Sample CE,SM-367300,"$9,071,102 ","95,661,100",,Safety Wingset
64,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021003,Safety Hypodermic Products,PH210230031027,Blunt Fill Needle / Combo,PH210230041143,BFN LARGE BORE,PH210230051262,BFN SHORT LENGTH,305243,NEEDLE 18GA 1IN BLUNT FILL SLA,305243-NEEDLE 18GA 1IN BLUNT FILL SLA,MDS-305243,"$1,788,971 ","94,918,035",,Safety Wingset
65,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306001,Alaris System,PH230600121010,IV Pump Delivery,PH230600131047,Alaris System LVP Sets,PH230600141135,Primary Admin,PH230600151210,SmartSite,2420-0007,GEM V/NV 20D 1CV 2SS DEHP FREE,2420-0007-GEM V/NV 20D 1CV 2SS DEHP FREE,MMS-2420-0007,"$323,637,077 ","93,039,137",,Safety Wingset
66,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031009,Conventional Needles,PH210230041067,Large Bore Needles,PH210230051128,LONG LENGTH,305196,NEEDLE 18X1-1/2 RB,305196-NEEDLE 18X1-1/2 RB,MDS-305196,"$4,807,232 ","93,029,700",,Plastipak
